
Language family	ISO language name	Native name (endonym)	639-1	639-2/T	639-2/B	639-3	Notes
Sino-Tibetan	Burmese	ဗမာစာ	my	mya	bur	mya	also known as Myanmar
Indo-European	Catalan, Valencian	català, valencià	ca	cat	cat	cat	
Austronesian	Chamorro	Chamoru	ch	cha	cha	cha	
Northeast Caucasian	Chechen	нохчийн мотт	ce	che	che	che	
Niger–Congo	Chichewa, Chewa, Nyanja	chiCheŵa, chinyanja	ny	nya	nya	nya	
Sino-Tibetan	Chinese	中文 (Zhōngwén), 汉语, 漢語	zh	zho	chi	zho + 16	macrolanguage
Turkic	Chuvash	чӑваш чӗлхи	cv	chv	chv	chv	
Indo-European	Cornish	Kernewek	kw	cor	cor	cor	
Indo-European	Corsican	corsu, lingua corsa	co	cos	cos	cos	
Algic	Cree	ᓀᐦᐃᔭᐍᐏᐣ	cr	cre	cre	cre + 6	macrolanguage
Indo-European	Croatian	hrvatski jezik	hr	hrv	hrv	hrv	
Indo-European	Czech	čeština, český jazyk	cs	ces	cze	ces	
Indo-European	Danish	dansk	da	dan	dan	dan	
Indo-European	Divehi, Dhivehi, Maldivian	ދިވެހި	dv	div	div	div	
Indo-European	Dutch, Flemish	Nederlands, Vlaams	nl	nld	dut	nld	Flemish is not to be confused with the closely related West Flemish which is referred to as Vlaams (Dutch for "Flemish") in ISO 639-3 and has the ISO 639-3 code vls
Sino-Tibetan	Dzongkha	རྫོང་ཁ	dz	dzo	dzo	dzo	
Indo-European	English	English	en	eng	eng	eng	
Constructed	Esperanto	Esperanto	eo	epo	epo	epo	constructed, initially by L.L. Zamenhof in 1887
Uralic	Estonian	eesti, eesti keel	et	est	est	est + 2	macrolanguage
Niger–Congo	Ewe	Eʋegbe	ee	ewe	ewe	ewe	
Indo-European	Faroese	føroyskt	fo	fao	fao	fao	
Austronesian	Fijian	vosa Vakaviti	fj	fij	fij	fij	
Uralic	Finnish	suomi, suomen kieli	fi	fin	fin	fin	
Indo-European	French	français	fr	fra	fre	fra	
Niger–Congo	Fulah	Fulfulde, Pulaar, Pular	ff	ful	ful	ful + 9	macrolanguage, also known as Fula
Indo-European	Galician	Galego	gl	glg	glg	glg	
Kartvelian	Georgian	ქართული	ka	kat	geo	kat	
Indo-European	German	Deutsch	de	deu	ger	deu	
Indo-European	Greek, Modern (1453–)	Ελληνικά	el	ell	gre	ell	for Ancient Greek, use the ISO 639-3 code grc
Tupian	Guarani	Avañe'ẽ	gn	grn	grn	grn + 5	macrolanguage
Indo-European	Gujarati	ગુજરાતી	gu	guj	guj	guj	
Creole	Haitian, Haitian Creole	Kreyòl ayisyen	ht	hat	hat	hat	
Afro-Asiatic	Hausa	(Hausa) هَوُسَ	ha	hau	hau	hau	
Afro-Asiatic	Hebrew	עברית	he	heb	heb	heb	Modern Hebrew. Code changed in 1989 from original ISO 639:1988, iw.[1]
Niger–Congo	Herero	Otjiherero	hz	her	her	her	
Indo-European	Hindi	हिन्दी, हिंदी	hi	hin	hin	hin	
Austronesian	Hiri Motu	Hiri Motu	ho	hmo	hmo	hmo	
Uralic	Hungarian	magyar	hu	hun	hun	hun	
Constructed	Interlingua (International Auxiliary Language Association)	Interlingua	ia	ina	ina	ina	constructed by the International Auxiliary Language Association
Austronesian	Indonesian	Bahasa Indonesia	id	ind	ind	ind	covered by macrolanguage ms/msa. Changed in 1989 from original ISO 639:1988, in.[1]
Constructed	Interlingue, Occidental	(originally:) Occidental, (after WWII:) Interlingue	ie	ile	ile	ile	constructed by Edgar de Wahl, first published in 1922
Indo-European	Irish	Gaeilge	ga	gle	gle	gle	
Niger–Congo	Igbo	Asụsụ Igbo	ig	ibo	ibo	ibo	
Eskimo–Aleut	Inupiaq	Iñupiaq, Iñupiatun	ik	ipk	ipk	ipk + 2	macrolanguage
Constructed	Ido	Ido	io	ido	ido	ido	constructed by De Beaufront, 1907, as variation of Esperanto
Indo-European	Icelandic	Íslenska	is	isl	ice	isl	
Indo-European	Italian	Italiano	it	ita	ita	ita	
Eskimo–Aleut	Inuktitut	ᐃᓄᒃᑎᑐᑦ	iu	iku	iku	iku + 2	macrolanguage
Japonic	Japanese	日本語 (にほんご)	ja	jpn	jpn	jpn	
Austronesian	Javanese	ꦧꦱꦗꦮ, Basa Jawa	jv	jav	jav	jav	
Eskimo–Aleut	Kalaallisut, Greenlandic	kalaallisut, kalaallit oqaasii	kl	kal	kal	kal	
Dravidian	Kannada	ಕನ್ನಡ	kn	kan	kan	kan	
Nilo-Saharan	Kanuri	Kanuri	kr	kau	kau	kau + 3	macrolanguage
Indo-European	Kashmiri	कॉशुर, کٲشُر	ks	kas	kas	kas	
Turkic	Kazakh	қазақ тілі	kk	kaz	kaz	kaz	
Austroasiatic	Central Khmer	ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ	km	khm	khm	khm	also known as Khmer or Cambodian
Niger–Congo	Kikuyu, Gikuyu	Gĩkũyũ	ki	kik	kik	kik	
Niger–Congo	Kinyarwanda	Ikinyarwanda	rw	kin	kin	kin	
Turkic	Kirghiz, Kyrgyz	Кыргызча, Кыргыз тили	ky	kir	kir	kir	
Uralic	Komi	коми кыв	kv	kom	kom	kom + 2	macrolanguage
Niger–Congo	Kongo	Kikongo	kg	kon	kon	kon + 3	macrolanguage
Koreanic	Korean	한국어	ko	kor	kor	kor	
Indo-European	Kurdish	Kurdî, کوردی	ku	kur	kur	kur + 3	macrolanguage
Niger–Congo	Kuanyama, Kwanyama	Kuanyama	kj	kua	kua	kua	
Indo-European	Latin	latine, lingua latina	la	lat	lat	lat	ancient
Indo-European	Luxembourgish, Letzeburgesch	Lëtzebuergesch	lb	ltz	ltz	ltz	
Niger–Congo	Ganda	Luganda	lg	lug	lug	lug	
Indo-European	Limburgan, Limburger, Limburgish	Limburgs	li	lim	lim	lim	
Niger–Congo	Lingala	Lingála	ln	lin	lin	lin	
Tai–Kadai	Lao	ພາສາລາວ	lo	lao	lao	lao	
Indo-European	Lithuanian	lietuvių kalba	lt	lit	lit	lit	
Niger–Congo	Luba-Katanga	Kiluba	lu	lub	lub	lub	also known as Luba-Shaba
Indo-European	Latvian	latviešu valoda	lv	lav	lav	lav + 2	macrolanguage
Indo-European	Manx	Gaelg, Gailck	gv	glv	glv	glv	
Indo-European	Macedonian	македонски јазик	mk	mkd	mac	mkd	
Austronesian	Malagasy	fiteny malagasy	mg	mlg	mlg	mlg + 11	macrolanguage
Austronesian	Malay	Bahasa Melayu, بهاس ملايو	ms	msa	may	msa + 36	macrolanguage, Standard Malay is zsm, Indonesian is id/ind
Dravidian	Malayalam	മലയാളം	ml	mal	mal	mal	
Afro-Asiatic	Maltese	Malti	mt	mlt	mlt	mlt	
Austronesian	Maori	te reo Māori	mi	mri	mao	mri	also known as Māori
Indo-European	Marathi	मराठी	mr	mar	mar	mar	also known as Marāṭhī
Austronesian	Marshallese	Kajin M̧ajeļ	mh	mah	mah	mah	
Mongolic	Mongolian	Монгол хэл	mn	mon	mon	mon + 2	macrolanguage
Austronesian	Nauru	Dorerin Naoero	na	nau	nau	nau	also known as Nauruan
Dené–Yeniseian	Navajo, Navaho	Diné bizaad	nv	nav	nav	nav	
Niger–Congo	North Ndebele	isiNdebele	nd	nde	nde	nde	also known as Northern Ndebele
Indo-European	Nepali	नेपाली	ne	nep	nep	nep + 2	macrolanguage
Niger–Congo	Ndonga	Owambo	ng	ndo	ndo	ndo	
Indo-European	Norwegian Bokmål	Norsk Bokmål	nb	nob	nob	nob	covered by macrolanguage no/nor
Indo-European	Norwegian Nynorsk	Norsk Nynorsk	nn	nno	nno	nno	covered by macrolanguage no/nor
Indo-European	Norwegian	Norsk	no	nor	nor	nor + 2	macrolanguage, Bokmål is nb/nob, Nynorsk is nn/nno
Sino-Tibetan	Sichuan Yi, Nuosu	ꆈꌠ꒿ Nuosuhxop	ii	iii	iii	iii	standard form of the Yi languages
Niger–Congo	South Ndebele	isiNdebele	nr	nbl	nbl	nbl	also known as Southern Ndebele
Indo-European	Occitan	occitan, lenga d'òc	oc	oci	oci	oci	
Algic	Ojibwa	ᐊᓂᔑᓈᐯᒧᐎᓐ	oj	oji	oji	oji + 7	macrolanguage, also known as Ojibwe
Indo-European	Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic	ѩзыкъ словѣньскъ	cu	chu	chu	chu	ancient, in use by the Eastern Orthodox Church
Afro-Asiatic	Oromo	Afaan Oromoo	om	orm	orm	orm + 4	macrolanguage
Indo-European	Oriya	ଓଡ଼ିଆ	or	ori	ori	ori + 2	macrolanguage, also known as Odia
Indo-European	Ossetian, Ossetic	ирон ӕвзаг	os	oss	oss	oss	
Indo-European	Punjabi, Panjabi	ਪੰਜਾਬੀ, پنجابی	pa	pan	pan	pan	
Indo-European	Pali	पालि, पाळि	pi	pli	pli	pli	ancient, also known as Pāli
Indo-European	Persian	فارسی	fa	fas	per	fas + 2	macrolanguage, also known as Farsi
Indo-European	Polish	język polski, polszczyzna	pl	pol	pol	pol	
Indo-European	Pashto, Pushto	پښتو	ps	pus	pus	pus + 3	macrolanguage
Indo-European	Portuguese	Português	pt	por	por	por	
Quechuan	Quechua	Runa Simi, Kichwa	qu	que	que	que + 43	macrolanguage
Indo-European	Romansh	Rumantsch Grischun	rm	roh	roh	roh	
Niger–Congo	Rundi	Ikirundi	rn	run	run	run	also known as Kirundi
Indo-European	Romanian, Moldavian, Moldovan	Română, Moldovenească	ro	ron	rum	ron	the identifiers mo and mol for Moldavian are deprecated. They will not be assigned to different items, and recordings using these identifiers will not be invalid.
Indo-European	Russian	русский	ru	rus	rus	rus	
Indo-European	Sanskrit	संस्कृतम्, 𑌸𑌂𑌸𑍍𑌕𑍃𑌤𑌮𑍍	sa	san	san	san	ancient
Indo-European	Sardinian	sardu	sc	srd	srd	srd + 4	macrolanguage
Indo-European	Sindhi	सिंधी, سنڌي	sd	snd	snd	snd	
Uralic	Northern Sami	Davvisámegiella	se	sme	sme	sme	
Austronesian	Samoan	gagana fa'a Samoa	sm	smo	smo	smo	
Creole	Sango	yângâ tî sängö	sg	sag	sag	sag	
Indo-European	Serbian	српски језик	sr	srp	srp	srp	the ISO 639-2/T code srp deprecated the ISO 639-2/B code scc[2]
Indo-European	Gaelic, Scottish Gaelic	Gàidhlig	gd	gla	gla	gla	
Niger–Congo	Shona	chiShona	sn	sna	sna	sna	
Indo-European	Sinhala, Sinhalese	සිංහල	si	sin	sin	sin	
Indo-European	Slovak	slovenčina, slovenský jazyk	sk	slk	slo	slk	
Indo-European	Slovenian	Slovenski jezik, Slovenščina	sl	slv	slv	slv	also known as Slovene
Afro-Asiatic	Somali	Soomaaliga, af Soomaali	so	som	som	som	
Niger–Congo	Southern Sotho	Sesotho	st	sot	sot	sot	
Indo-European	Spanish, Castilian	Español	es	spa	spa	spa	
Austronesian	Sundanese	Basa Sunda	su	sun	sun	sun	
Niger–Congo	Swahili	Kiswahili	sw	swa	swa	swa + 2	macrolanguage
Niger–Congo	Swati	SiSwati	ss	ssw	ssw	ssw	also known as Swazi
Indo-European	Swedish	Svenska	sv	swe	swe	swe	
Dravidian	Tamil	தமிழ்	ta	tam	tam	tam	
Dravidian	Telugu	తెలుగు	te	tel	tel	tel	
Indo-European	Tajik	тоҷикӣ, toçikī, تاجیکی	tg	tgk	tgk	tgk	
Tai–Kadai	Thai	ไทย	th	tha	tha	tha	
Afro-Asiatic	Tigrinya	ትግርኛ	ti	tir	tir	tir	
Sino-Tibetan	Tibetan	བོད་ཡིག	bo	bod	tib	bod	also known as Standard Tibetan
Turkic	Turkmen	Türkmençe, Türkmen dili	tk	tuk	tuk	tuk	
Austronesian	Tagalog	Wikang Tagalog	tl	tgl	tgl	tgl	note: Filipino (Pilipino) has the code fil
Niger–Congo	Tswana	Setswana	tn	tsn	tsn	tsn	
Austronesian	Tonga (Tonga Islands)	Faka Tonga	to	ton	ton	ton	also known as Tongan
Turkic	Turkish	Türkçe	tr	tur	tur	tur	
Niger–Congo	Tsonga	Xitsonga	ts	tso	tso	tso	
Turkic	Tatar	татар теле, tatar tele	tt	tat	tat	tat	
Niger–Congo	Twi	Twi	tw	twi	twi	twi	covered by macrolanguage ak/aka
Austronesian	Tahitian	Reo Tahiti	ty	tah	tah	tah	one of the Reo Mā`ohi (languages of French Polynesia)[3]
Turkic	Uighur, Uyghur	ئۇيغۇرچە, Uyghurche	ug	uig	uig	uig	
Indo-European	Ukrainian	Українська	uk	ukr	ukr	ukr	
Indo-European	Urdu	اردو	ur	urd	urd	urd	
Turkic	Uzbek	Oʻzbek, Ўзбек, أۇزبېك	uz	uzb	uzb	uzb + 2	macrolanguage
Niger–Congo	Venda	Tshivenḓa	ve	ven	ven	ven	
Austroasiatic	Vietnamese	Tiếng Việt	vi	vie	vie	vie	
Constructed	Volapük	Volapük	vo	vol	vol	vol	constructed
Indo-European	Walloon	Walon	wa	wln	wln	wln	
Indo-European	Welsh	Cymraeg	cy	cym	wel	cym	
Niger–Congo	Wolof	Wollof	wo	wol	wol	wol	
Indo-European	Western Frisian	Frysk	fy	fry	fry	fry	also known as Frisian
Niger–Congo	Xhosa	isiXhosa	xh	xho	xho	xho	
Indo-European	Yiddish	ייִדיש	yi	yid	yid	yid + 2	macrolanguage. Changed in 1989 from original ISO 639:1988, ji.[1]
Niger–Congo	Yoruba	Yorùbá	yo	yor	yor	yor	
Tai–Kadai	Zhuang, Chuang	Saɯ cueŋƅ, Saw cuengh	za	zha	zha	zha + 16	macrolanguage
Niger–Congo	Zulu	isiZulu	zu	zul	zul	zul	
